Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5PlusPop_Pct_UR_Equity,Booster_Doses,Booster_Doses_18Plus,Booster_Doses_50Plus,Booster_Doses_65Plus,Booster_Doses_Vax_Pct,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus_Vax_Pct
1/6/2022,41041,1,Lincoln County,OR,68.2,"34,073","33,544",75.2,"31,874",76.4,"12,865",87.8,97.8,37656,75.4,36755,82.4,34858,83.5,13848,94.5,C,12,12,12,12,Non-metro,8,8,8,8,37656,78.6,34073,71.1,12,8,16749,16672,13648,9401,49.2,52.3,63.3,73.1
1/6/2022,41043,1,Linn County,OR,53.3,"69,189","68,373",61.7,"64,669",64.1,"20,565",83.1,97.8,75492,58.2,74019,66.8,69887,69.3,21927,88.6,C,12,12,12,12,Metro,4,4,4,4,75492,61.9,69189,56.7,12,4,25767,25637,19298,12830,37.2,39.6,52,62.4
1/6/2022,41045,1,Malheur County,OR,45.2,"13,810","13,663",54.2,"12,859",56.8,"4,332",84.3,97.8,15803,51.7,15503,61.5,14558,64.3,4804,93.5,D,15,16,16,16,Non-metro,7,8,8,8,15803,55.5,13810,48.5,15,7,3966,3954,3149,2100,28.7,30.7,40.9,48.5
1/6/2022,41047,1,Marion County,OR,59.9,"208,401","204,518",70.1,"189,077",71.8,"49,189",87.4,97.8,230779,66.4,224312,76.9,206921,78.6,52580,93.4,D,16,16,16,16,Metro,4,4,4,4,230777,71,208401,64.1,16,4,73588,73062,51598,32663,35.3,38.6,54.1,66.4
1/6/2022,41049,1,Morrow County,OR,52.1,"6,042","6,016",63.1,"5,563",66.1,"1,453",74.7,97.8,6798,58.6,6678,70.1,6169,73.3,1573,80.9,D,16,16,16,16,Non-metro,8,8,8,8,6798,63.2,6042,56.2,16,8,1645,1640,1267,788,27.2,29.5,42.9,54.2
1/6/2022,41051,1,Multnomah County,OR,76,"618,057","596,950",83.9,"560,065",84.5,"108,847",95,97.8,701357,86.3,673271,94.6,632222,95,119720,95,B,8,8,8,8,Metro,4,4,4,4,701354,90.9,618056,80.1,8,4,261966,259318,134983,73392,42.4,46.3,58.7,67.4
1/6/2022,41053,1,Polk County,OR,60.8,"52,339","51,236",69.5,"47,650",71.3,"13,940",87.6,97.8,56331,65.4,54588,74,50656,75.8,14662,92.1,C,12,12,12,12,Metro,4,4,4,4,56329,69.3,52339,64.4,12,4,20887,20753,14836,9786,39.9,43.6,58.7,70.2
1/6/2022,41055,1,Sherman County,OR,56.2,"1,000",989,63.6,961,66.6,362,79.9,97.8,1111,62.4,1095,70.4,1051,72.8,383,84.5,A,4,4,4,4,Non-metro,8,8,8,8,1111,65.7,1000,59.1,4,8,396,394,330,228,39.6,41,51.4,63
1/6/2022,41057,1,Tillamook County,OR,62.4,"16,872","16,674",70.3,"15,881",72.3,"6,288",88.1,97.8,18581,68.7,18234,76.9,17324,78.9,6840,95,C,12,12,12,12,Non-metro,8,8,8,8,18581,72.1,16872,65.5,12,8,7723,7687,6359,4402,45.8,48.4,59.7,70
1/6/2022,41059,1,Umatilla County,OR,53,"41,285","40,816",62.7,"37,896",64.9,"10,292",82.3,97.8,46865,60.1,46032,70.7,42636,73,11762,94,D,16,16,16,16,Non-metro,8,8,8,8,46861,64.2,41282,56.6,16,8,11191,11123,8395,5307,27.1,29.4,42.2,51.6
1/6/2022,41061,1,Union County,OR,47.3,"12,704","12,500",54.4,"11,890",56.7,"4,389",76.1,97.8,14015,52.2,13684,59.5,12947,61.7,4722,81.9,C,11,12,12,12,Non-metro,7,8,8,8,14015,55.3,12704,50.1,12,8,4898,4877,3758,2615,38.6,41,52,59.6
1/6/2022,UNK,1,Unknown County,OR,0,"62,101","61,878",0,"60,779",0,"15,774",0,97.8,85502,0,84955,0,83056,0,18149,0,,,,,,,,,,,85496,0,62100,0,,,18607,18575,13701,9960,30,30.6,43.7,63.1
1/6/2022,41063,1,Wallowa County,OR,57.4,"4,136","4,090",64.8,"3,918",66.9,"1,783",83.2,97.8,4598,63.8,4493,71.2,4298,73.4,1926,89.9,C,12,12,12,12,Non-metro,8,8,8,8,4597,66.9,4135,60.2,12,8,1986,1981,1579,1164,48,50.6,57.6,65.3
1/6/2022,41065,1,Wasco County,OR,62.9,"16,771","16,447",72.4,"15,396",74.1,"4,981",88.9,97.8,18568,69.6,18039,79.4,16846,81,5407,95,D,16,16,16,16,Non-metro,8,8,8,8,18568,74.2,16771,67,16,8,6452,6420,4811,3214,38.5,41.7,54.7,64.5
1/6/2022,41067,1,Washington County,OR,72.8,"438,124","420,404",81.9,"384,168",82.4,"74,686",89.6,97.8,478872,79.6,454113,88.5,414893,88.9,79776,95,B,8,8,8,8,Metro,4,4,4,4,478870,84.5,438123,77.3,8,4,177167,175149,100902,54979,40.4,45.6,61,73.6
1/6/2022,41069,1,Wheeler County,OR,53.7,715,710,58.3,684,59.6,357,73.8,97.8,760,57.1,752,61.8,725,63.2,370,76.4,B,8,8,8,8,Non-metro,8,8,8,8,760,59.2,715,55.7,8,8,375,375,336,249,52.4,54.8,62.5,69.7
1/6/2022,41071,1,Yamhill County,OR,60.6,"64,881","63,437",68.9,"59,099",70.6,"16,912",88.5,97.8,71088,66.4,68847,74.8,63980,76.4,18104,94.8,C,12,12,12,12,Metro,4,4,4,4,71087,70.3,64881,64.1,12,4,24837,24677,17645,11302,38.3,41.8,55.4,66.8
